Ponto;D_cap(mm);L_cap(mm);rho(g/cm³);t_ext(s);P_ext(bar);M_ext(g);Q_calc(mm³/s);τw (Pa);γ̇aw (s⁻¹);ηa (Pa·s);γ̇w (s⁻¹);η (Pa·s)
96;1.500;43.00;1,6300;30,4107;2,0261;27,1200;547,1108;1766,9843;1651,2073;1,0701;2023,9925;0,8730
97;1.500;43.00;1,6300;20,7306;2,5818;18,5400;548,6685;2251,5568;1655,9087;1,3597;2029,7553;1,1093
98;1.500;43.00;1,6300;20,5545;1,9835;18,6100;555,4584;1729,7758;1676,4008;1,0318;2054,8737;0,8418
99;1.500;43.00;1,6300;20,2959;2,0048;18,5500;560,7223;1748,3364;1692,2874;1,0331;2074,3471;0,8428
100;1.500;43.00;1,6300;30,5749;2,2659;39,2100;786,7624;1976,0587;2374,4878;0,8322;2910,5645;0,6789
101;1.500;43.00;1,6300;30,3586;2,2532;39,5700;799,6441;1965,0237;2413,3654;0,8142;2958,2193;0,6643
102;1.500;43.00;1,6300;30,4785;2,2766;39,8700;802,5372;1985,4342;2422,0968;0,8197;2968,9219;0,6687
103;1.500;43.00;1,6300;30,3013;2,3148;39,9000;807,8372;2018,7206;2438,0925;0,8280;2988,5289;0,6755
104;1.500;43.00;1,6300;30,4681;2,2443;40,2400;810,2608;1957,2256;2445,4071;0,8004;2997,4950;0,6530
105;1.500;43.00;1,6300;20,5872;2,5745;28,2200;840,9522;2245,1833;2538,0351;0,8846;3111,0352;0,7217
106;1.500;43.00;1,6300;20,2986;2,5633;37,2700;1126,4347;2235,4152;3399,6354;0,6575;4167,1548;0,5364
107;1.500;43.00;1,6300;20,4840;2,5879;41,4200;1240,5330;2256,8711;3743,9896;0,6028;4589,2521;0,4918
